层级,环节分类,细分环节,企业名称,股票代码,上市状态,总部所在地,核心产品/技术,估值/市值,备注,数据更新时间
框架层,通用认知模型,大语言模型LLM,科大讯飞,002230.SZ,A股上市,合肥,讯飞星火大模型,约800亿,语音+大模型,2025-12-07
框架层,通用认知模型,大语言模型LLM,智元机器人,,未上市,上海,启元大模型GO-1,约70亿,具身智能大模型,2025-12-07
框架层,通用认知模型,大语言模型LLM,百度,9888.HK,港股/美股,北京,文心大模型,约3000亿港元,大模型龙头,2025-12-07
框架层,通用认知模型,大视觉模型LVM,智平方,,未上市,深圳,GOVLA视觉大模型,未披露,具身视觉大模型,2025-12-07
框架层,通用认知模型,大视觉模型LVM,星动纪元,,未上市,北京,ERA-42多模态大模型,约10亿,清华系具身智能,2025-12-07
框架层,通用认知模型,多模态大模型,银河通用,,未上市,北京,GraspVLA抓取大模型,未披露,具身多模态,2025-12-07
框架层,通用认知模型,多模态大模型,跨维智能,,未上市,北京,SAM-6D多模态模型,未披露,具身多模态,2025-12-07
框架层,通用认知模型,多模态大模型,商汤科技,0020.HK,港股上市,上海,日日新大模型,约400亿港元,AI大模型,2025-12-07
框架层,具身控制模型,感知决策控制一体,智平方,,未上市,深圳,全域全身控制VLA,未披露,端到端控制,2025-12-07
框架层,具身控制模型,感知决策控制一体,小鹏汽车,9868.HK,港股/美股,广州,端到端VLA、FSD迁移,约500亿港元,自动驾驶迁移机器人,2025-12-07
框架层,具身控制模型,感知决策控制一体,特斯拉,TSLA,美股上市,美国,FSD端到端大模型,约1万亿美元,Optimus人形机器人,2025-12-07
框架层,具身控制模型,模仿与强化学习,傅利叶智能,,未上市,上海,GR-3全感交互控制,约40亿,人形机器人,2025-12-07
框架层,具身控制模型,模仿与强化学习,宇树科技,,未上市,杭州,强化学习运动控制,约80亿,四足/人形机器人,2025-12-07
框架层,具身控制模型,跨形态通用策略,优艾智合,,未上市,深圳,一脑多态通用控制,未披露,移动机器人,2025-12-07
框架层,具身控制模型,跨形态通用策略,天娱数科,002354.SZ,A股上市,深圳,跨本体互通控制,约50亿,元宇宙+机器人,2025-12-07
框架层,世界模型,环境内部建模,群核科技,,未上市,杭州,SpatialTwin空间智能,未披露,3D空间建模,2025-12-07
框架层,世界模型,环境内部建模,英伟达,NVDA,美股上市,美国,Cosmos世界模型,约3万亿美元,世界模型,2025-12-07
框架层,世界模型,自身运动预测,宇树科技,,未上市,杭州,高动态平衡预测控制,约80亿,运动预测,2025-12-07
框架层,世界模型,自身运动预测,傅利叶智能,,未上市,上海,全感交互运动预测,约40亿,运动预测,2025-12-07
框架层,运动规划与力控,高维路径规划,节卡机器人,,IPO申报中,上海,手眼脚协同路径规划,约50亿,协作机器人,2025-12-07
框架层,运动规划与力控,高维路径规划,优必选,9880.HK,港股上市,深圳,Walker全身运动规划,约80亿港元,人形机器人龙头,2025-12-07
框架层,运动规划与力控,全身动力学平衡,宇树科技,,未上市,杭州,H1全身动力学平衡,约80亿,动态平衡,2025-12-07
框架层,运动规划与力控,全身动力学平衡,特斯拉,TSLA,美股上市,美国,Optimus Gen2动力学控制,约1万亿美元,动态平衡,2025-12-07
框架层,运动规划与力控,高精度力控柔顺,千寻智能,,未上市,深圳,Moz1全力控方案,未披露,力控专家,2025-12-07
框架层,运动规划与力控,高精度力控柔顺,柯力传感,603662.SH,A股上市,宁波,六维力矩传感+力控,约100亿,力传感+控制,2025-12-07
支撑层,仿真训练平台,高保真物理引擎,群核科技,,未上市,杭州,SpatialTwin物理仿真,未披露,空间智能仿真,2025-12-07
支撑层,仿真训练平台,高保真物理引擎,华如科技,301302.SZ,A股上市,北京,仿真训练平台,约30亿,军工仿真,2025-12-07
支撑层,仿真训练平台,高保真物理引擎,智元机器人,,未上市,上海,AgiBot Digital World,约70亿,自研仿真平台,2025-12-07
支撑层,仿真训练平台,大规模环境模拟,天娱数科,002354.SZ,A股上市,深圳,大模型一体机、环境模拟,约50亿,元宇宙仿真,2025-12-07
支撑层,仿真训练平台,大规模环境模拟,阿尔特,300825.SZ,A股上市,北京,Omniverse合作、汽车仿真,约50亿,汽车仿真延伸,2025-12-07
支撑层,仿真训练平台,Sim2Real迁移,智平方,,未上市,深圳,RoboMamba Sim2Real,未披露,仿真到现实迁移,2025-12-07
支撑层,仿真训练平台,Sim2Real迁移,星动纪元,,未上市,北京,ERA-42 Sim2Real,约10亿,仿真到现实迁移,2025-12-07
支撑层,仿真训练平台,Isaac Sim生态,英伟达,NVDA,美股上市,美国,Isaac Sim、Omniverse,约3万亿美元,仿真平台龙头,2025-12-07
支撑层,系统与中间件,专用具身OS,中科创达,300496.SZ,A股上市,北京,TurboX机器人OS,约300亿,操作系统龙头,2025-12-07
支撑层,系统与中间件,专用具身OS,智元机器人,,未上市,上海,AIMRT机器人中间件,约70亿,自研中间件,2025-12-07
支撑层,系统与中间件,专用具身OS,软通动力,301236.SZ,A股上市,北京,天鹤机器人OS,约150亿,机器人OS,2025-12-07
支撑层,系统与中间件,异构资源调度,群核科技,,未上市,杭州,SpatialTwin资源调度,未披露,异构调度,2025-12-07
支撑层,系统与中间件,异构资源调度,天娱数科,002354.SZ,A股上市,深圳,云边端算力调度,约50亿,算力调度,2025-12-07
支撑层,开发工具链,机器人框架ROS2适配,智元机器人,,未上市,上海,ROS2企业级适配,约70亿,ROS2生态,2025-12-07
支撑层,开发工具链,机器人框架ROS2适配,优必选,9880.HK,港股上市,深圳,ROS2企业级适配,约80亿港元,ROS2生态,2025-12-07
支撑层,开发工具链,标准接口协议,新松机器人,300024.SZ,A股上市,沈阳,工业机器人接口协议,约200亿,工业机器人龙头,2025-12-07
支撑层,开发工具链,标准接口协议,海康机器人,,分拆上市中,杭州,机器视觉接口协议,约200亿,机器视觉龙头,2025-12-07
支撑层,数据体系,多模态真实数据,37度数据,,未上市,北京,多模态数据采集标注,未披露,数据服务,2025-12-07
支撑层,数据体系,多模态真实数据,度量科技,,未上市,北京,机器人数据采集,未披露,数据服务,2025-12-07
支撑层,数据体系,高质量合成数据,智元机器人,,未上市,上海,AgiBot Dataset,约70亿,自研数据集,2025-12-07
支撑层,数据体系,高质量合成数据,宇树科技,,未上市,杭州,运动数据合成,约80亿,运动数据,2025-12-07
应用层,本体制造,人形/类人机器人,智元机器人,,未上市,上海,远征A1/A2人形机器人,约70亿,全栈自研,2025-12-07
应用层,本体制造,人形/类人机器人,优必选,9880.HK,港股上市,深圳,Walker系列人形机器人,约80亿港元,人形机器人龙头,2025-12-07
应用层,本体制造,人形/类人机器人,傅利叶智能,,未上市,上海,GR-1/GR-2通用人形机器人,约40亿,康复+通用,2025-12-07
应用层,本体制造,人形/类人机器人,宇树科技,,未上市,杭州,G1/H1人形机器人,约80亿,电驱技术领先,2025-12-07
应用层,本体制造,人形/类人机器人,开普勒机器人,,未上市,上海,先行者系列人形机器人,未披露,丝杠技术,2025-12-07
应用层,本体制造,人形/类人机器人,星动纪元,,未上市,北京,小星人形机器人,约10亿,清华系,2025-12-07
应用层,本体制造,人形/类人机器人,逐际动力,,未上市,深圳,CL-1人形机器人,未披露,强化学习,2025-12-07
应用层,本体制造,人形/类人机器人,小米机器人,1810.HK,港股上市,北京,CyberOne铁大,约5000亿港元,消费电子巨头,2025-12-07
应用层,本体制造,人形/类人机器人,达闼科技,,未上市,上海,Cloud Ginger云端机器人,约30亿美元,云端智能,2025-12-07
应用层,本体制造,人形/类人机器人,特斯拉,TSLA,美股上市,美国,Optimus Gen2,约1万亿美元,FSD技术迁移,2025-12-07
应用层,本体制造,人形/类人机器人,Figure AI,,未上市,美国,Figure 01/02,约26亿美元,OpenAI投资,2025-12-07
应用层,本体制造,人形/类人机器人,波士顿动力,,未上市(现代),美国,Atlas人形机器人,约11亿美元,动态平衡先驱,2025-12-07
应用层,本体制造,自主移动AMR,新松机器人,300024.SZ,A股上市,沈阳,AGV/AMR、洁净机器人,约200亿,工业机器人龙头,2025-12-07
应用层,本体制造,自主移动AMR,海康机器人,,分拆上市中,杭州,潜伏式AGV、AMR,约200亿,视觉+移动机器人,2025-12-07
应用层,本体制造,自主移动AMR,优艾智合,,未上市,深圳,工业移动机器人,未披露,半导体物流,2025-12-07
应用层,本体制造,自主移动AMR,斯坦德机器人,,未上市,深圳,激光SLAM AMR,未披露,工厂物流,2025-12-07
应用层,本体制造,自主移动AMR,极智嘉,,未上市,北京,仓储AMR系统,约30亿美元,仓储物流龙头,2025-12-07
应用层,本体制造,自主移动AMR,快仓智能,,未上市,上海,智能仓储机器人,约10亿美元,货到人系统,2025-12-07
应用层,本体制造,智能无人载具,大疆,,未上市,深圳,无人机、农业机器人,约1600亿,无人机龙头,2025-12-07
应用层,本体制造,智能无人载具,普渡机器人,,未上市,深圳,配送机器人,约10亿美元,商用服务机器人,2025-12-07
应用层,本体制造,智能无人载具,云深处科技,,未上市,杭州,绝影四足机器人,未披露,四足机器人,2025-12-07
应用层,本体制造,智能无人载具,九号公司,689009.SH,A股上市,北京,配送机器人、割草机器人,约300亿,短交通+机器人,2025-12-07
应用层,本体制造,特种异构机器人,魔方法子,,未上市,深圳,MagicDog Y1特种机器人,未披露,异构机器人,2025-12-07
应用层,本体制造,特种异构机器人,镜识科技,,未上市,深圳,特种服务机器人,未披露,异构机器人,2025-12-07
应用层,行业方案,智慧仓储物流,杭叉集团,603298.SH,A股上市,杭州,智能叉车、仓储方案,约200亿,叉车龙头,2025-12-07
应用层,行业方案,智慧仓储物流,节卡机器人,,IPO申报中,上海,协作机器人物流方案,约50亿,协作机器人,2025-12-07
应用层,行业方案,智慧仓储物流,海康机器人,,分拆上市中,杭州,智能仓储整体方案,约200亿,仓储方案,2025-12-07
应用层,行业方案,工业柔性装配,智平方,,未上市,深圳,爱宝柔性装配机器人,未披露,柔性装配,2025-12-07
应用层,行业方案,工业柔性装配,优必选,9880.HK,港股上市,深圳,工业版Walker,约80亿港元,工业场景,2025-12-07
应用层,行业方案,安防巡检,软通动力,301236.SZ,A股上市,北京,天鹤安防巡检方案,约150亿,安防方案,2025-12-07
应用层,行业方案,安防巡检,云深处科技,,未上市,杭州,绝影巡检方案,未披露,四足巡检,2025-12-07
应用层,集成定制,产线工艺集成,群核科技,,未上市,杭州,SpatialTwin产线集成,未披露,数字孪生集成,2025-12-07
应用层,集成定制,产线工艺集成,均普智能,688306.SH,A股上市,宁波,智能产线集成,约30亿,智元合作方,2025-12-07
应用层,集成定制,特定场景定制,银河通用,,未上市,北京,无人药店方案,未披露,零售场景,2025-12-07
应用层,集成定制,特定场景定制,智元机器人,,未上市,上海,商超导览定制,约70亿,商业场景,2025-12-07
应用层,集成定制,软硬件一体部署,智元机器人,,未上市,上海,全栈闭环部署,约70亿,全栈自研,2025-12-07
应用层,集成定制,软硬件一体部署,优必选,9880.HK,港股上市,深圳,Walker系列一体部署,约80亿港元,全栈方案,2025-12-07
应用层,运营服务,OTA升级迭代,智元机器人,,未上市,上海,启元大模型GO-1 OTA,约70亿,大模型OTA,2025-12-07
应用层,运营服务,OTA升级迭代,特斯拉,TSLA,美股上市,美国,Optimus OTA升级,约1万亿美元,OTA生态,2025-12-07
应用层,本体制造,工业/协作机器人,埃斯顿,002747.SZ,A股上市,南京,六轴工业机器人,约150亿,工业机器人龙头,2025-12-07
应用层,本体制造,工业/协作机器人,埃夫特,688165.SH,A股上市,芜湖,喷涂机器人,约80亿,喷涂专家,2025-12-07
应用层,本体制造,工业/协作机器人,拓斯达,300607.SZ,A股上市,东莞,注塑机器人,约100亿,注塑自动化,2025-12-07
应用层,本体制造,工业/协作机器人,节卡机器人,,IPO申报中,上海,力控协作机器人,约50亿,协作机器人,2025-12-07
应用层,本体制造,工业/协作机器人,越疆科技,,未上市,深圳,Dobot桌面/协作机器人,约30亿,教育+轻工业,2025-12-07
应用层,本体制造,工业/协作机器人,艾利特机器人,,未上市,北京,协作机器人,未披露,协作机器人,2025-12-07
应用层,本体制造,工业/协作机器人,珞石机器人,,未上市,山东,柔性力控协作机器人,未披露,按摩康复,2025-12-07
